stats_g/std,train/success_rate,train/episode,test/success_rate,test/episode,stats_o/mean,stats_g/mean,test/mean_Q,stats_o/std,epoch
0.06702597,0.98,19000.0,1.0,3800.0,0.19963211,0.8379609,-1.1126993,0.1037177,189
0.0670045,0.98,19100.0,0.95,3820.0,0.19962992,0.8379678,-2.6197078,0.103758074,190
0.0669807,0.97,19200.0,1.0,3840.0,0.19963546,0.83795714,-1.2134867,0.10378619,191
0.06694448,0.96,19300.0,1.0,3860.0,0.19964288,0.8379722,-1.2217052,0.10379035,192
0.066915065,0.96,19400.0,0.95,3880.0,0.19964564,0.8379491,-2.3448277,0.1038367,193
0.06687326,0.93,19500.0,0.9,3900.0,0.19965293,0.83794004,-3.8950973,0.10390847,194
0.06686031,0.94,19600.0,1.0,3920.0,0.19965851,0.83793455,-1.2670763,0.104043394,195
0.06687076,0.97,19700.0,1.0,3940.0,0.19963562,0.83791107,-1.0697908,0.10408961,196
0.06683596,0.93,19800.0,1.0,3960.0,0.19964428,0.837909,-1.0374649,0.1041418,197
0.06680416,0.95,19900.0,1.0,3980.0,0.19962339,0.83790135,-1.1398633,0.10410874,198
0.06676554,0.99,20000.0,1.0,4000.0,0.19964248,0.8379083,-1.11296,0.10408731,199
0.0667518,0.95,20100.0,0.95,4020.0,0.19962183,0.8378761,-2.032556,0.10413296,200
0.06677771,0.93,20200.0,0.95,4040.0,0.19963259,0.837888,-1.9138701,0.10425654,201
0.066790976,0.92,20300.0,1.0,4060.0,0.19962749,0.8378906,-1.3949745,0.10434237,202
0.066786334,0.98,20400.0,1.0,4080.0,0.19964908,0.83790064,-0.9941864,0.10439513,203
0.066804335,0.96,20500.0,1.0,4100.0,0.19964041,0.8379025,-1.1849648,0.10443549,204
0.06680339,0.97,20600.0,1.0,4120.0,0.19962898,0.8379151,-1.1071315,0.10442809,205
0.066803016,0.97,20700.0,1.0,4140.0,0.19962901,0.83793306,-1.0310167,0.10444994,206
0.066801876,0.96,20800.0,1.0,4160.0,0.19961998,0.8379257,-1.0261163,0.10450063,207
0.06685086,0.94,20900.0,1.0,4180.0,0.19961719,0.83795315,-0.9417615,0.104530774,208
0.06685569,0.95,21000.0,1.0,4200.0,0.19963422,0.83795905,-1.1685781,0.10456449,209
0.066850334,0.97,21100.0,1.0,4220.0,0.19964482,0.83798766,-0.8934614,0.10456744,210
0.06682214,0.95,21200.0,1.0,4240.0,0.19964845,0.83796406,-1.1700801,0.104534626,211
0.066797145,0.99,21300.0,1.0,4260.0,0.19965324,0.83798367,-0.9117945,0.10447393,212
0.06684283,0.94,21400.0,1.0,4280.0,0.19963823,0.83799714,-1.4174844,0.104502894,213
0.06681716,0.93,21500.0,1.0,4300.0,0.19966935,0.8380046,-1.3989774,0.104603335,214
0.066789456,0.96,21600.0,1.0,4320.0,0.19969714,0.83802015,-1.2229048,0.10456565,215
0.06677253,0.97,21700.0,0.95,4340.0,0.19970244,0.8380162,-2.5611262,0.10454985,216
0.06674691,0.96,21800.0,1.0,4360.0,0.19972849,0.8380212,-0.96810085,0.10458396,217
0.0667305,0.97,21900.0,1.0,4380.0,0.19974531,0.83802,-0.8692622,0.10465616,218
0.06674975,0.97,22000.0,1.0,4400.0,0.19973066,0.8380168,-1.0318727,0.104757585,219
0.066776745,0.92,22100.0,1.0,4420.0,0.19970542,0.8380291,-1.2926623,0.10477389,220
0.066737816,0.98,22200.0,0.95,4440.0,0.19969858,0.8380348,-1.47374,0.10472244,221
0.066715665,0.98,22300.0,1.0,4460.0,0.19971675,0.838036,-1.2879262,0.104688555,222
0.066804856,0.93,22400.0,1.0,4480.0,0.19972816,0.83803606,-0.9562847,0.104782514,223
0.06679644,0.97,22500.0,1.0,4500.0,0.19974656,0.83804303,-1.0722615,0.104836226,224
0.06677383,0.97,22600.0,1.0,4520.0,0.19974035,0.8380305,-1.3295685,0.10482181,225
0.06675769,0.98,22700.0,1.0,4540.0,0.19976032,0.8380487,-1.136236,0.10480594,226
0.06673396,0.95,22800.0,1.0,4560.0,0.19975887,0.83805037,-1.088608,0.1048019,227
0.06671114,0.93,22900.0,1.0,4580.0,0.1997686,0.83803654,-1.2686654,0.104862936,228
0.06670003,0.95,23000.0,1.0,4600.0,0.19977733,0.8380379,-1.1178231,0.10494948,229
0.06667455,0.99,23100.0,1.0,4620.0,0.19978037,0.8380421,-1.0820801,0.10498874,230
0.06668687,0.96,23200.0,1.0,4640.0,0.19978714,0.8380666,-1.1049592,0.10500869,231
0.06670041,0.94,23300.0,1.0,4660.0,0.19978216,0.83805466,-1.3905104,0.10513232,232
0.06669501,0.94,23400.0,1.0,4680.0,0.1997936,0.8380525,-1.5589074,0.105138466,233
0.06668202,0.97,23500.0,1.0,4700.0,0.19981349,0.83806366,-1.0962515,0.105151616,234
0.06665425,0.92,23600.0,1.0,4720.0,0.19985095,0.8380378,-1.3202899,0.10519614,235
0.0666528,0.97,23700.0,1.0,4740.0,0.19987153,0.8380373,-1.261319,0.10527369,236
0.06662514,0.95,23800.0,1.0,4760.0,0.19989246,0.8380244,-0.8526281,0.10529937,237
0.0666878,0.96,23900.0,1.0,4780.0,0.19990431,0.83804756,-1.1643355,0.10535817,238
0.06672739,0.94,24000.0,1.0,4800.0,0.19991337,0.83805925,-1.0003892,0.10535548,239
0.06670668,0.96,24100.0,1.0,4820.0,0.19990808,0.83802074,-0.93252707,0.105364695,240
0.066697426,0.99,24200.0,1.0,4840.0,0.19991378,0.8380532,-0.7887735,0.10540118,241
0.06666298,1.0,24300.0,1.0,4860.0,0.19990909,0.8380787,-0.8719959,0.10538539,242
0.066643275,0.96,24400.0,1.0,4880.0,0.19991559,0.8380888,-1.133249,0.10538465,243
0.06663842,0.99,24500.0,1.0,4900.0,0.19994016,0.8381012,-0.98904955,0.10541068,244
0.066650294,0.97,24600.0,1.0,4920.0,0.19994226,0.83810115,-1.0942973,0.10538707,245
0.0666671,0.95,24700.0,1.0,4940.0,0.19993201,0.8381045,-1.0441607,0.105463974,246
0.06663406,0.93,24800.0,1.0,4960.0,0.19994904,0.83809876,-0.9590147,0.10551178,247
0.06661115,0.97,24900.0,1.0,4980.0,0.19995198,0.83809876,-0.8440164,0.10550973,248
0.06658476,0.98,25000.0,1.0,5000.0,0.19994545,0.838092,-1.0573093,0.10555088,249
0.066577666,0.96,25100.0,1.0,5020.0,0.1999746,0.8381137,-1.1208152,0.105626486,250
0.06654287,0.98,25200.0,1.0,5040.0,0.19999887,0.8381224,-1.3627193,0.10565009,251
0.0665288,0.94,25300.0,1.0,5060.0,0.20001869,0.83812594,-1.1921667,0.105700836,252
0.06651422,0.97,25400.0,1.0,5080.0,0.20000409,0.8381221,-1.1079459,0.105792046,253
0.066493504,0.97,25500.0,1.0,5100.0,0.20002551,0.83813906,-1.067773,0.10576274,254
0.066479474,0.97,25600.0,1.0,5120.0,0.20004824,0.838159,-1.1152408,0.105751865,255
0.066467926,0.98,25700.0,1.0,5140.0,0.20005421,0.8381677,-1.1376542,0.10570674,256
0.066443324,0.97,25800.0,1.0,5160.0,0.20005879,0.8381794,-0.95937335,0.10570386,257
0.06640712,0.97,25900.0,1.0,5180.0,0.20006669,0.8381751,-0.7545909,0.1057286,258
0.066414304,0.93,26000.0,1.0,5200.0,0.20008092,0.83821565,-1.2297119,0.10573965,259
0.06640189,0.97,26100.0,1.0,5220.0,0.20009884,0.83821434,-1.4478626,0.10577512,260
0.06638964,0.96,26200.0,1.0,5240.0,0.20009464,0.8381967,-1.1687744,0.10579037,261
0.06636269,0.97,26300.0,0.95,5260.0,0.20009871,0.8381807,-1.1788483,0.10579902,262
0.06634102,0.95,26400.0,1.0,5280.0,0.2001035,0.8381495,-1.126427,0.10580984,263
0.06631944,0.97,26500.0,1.0,5300.0,0.20009083,0.83817095,-1.1061429,0.10580943,264
0.06629927,0.99,26600.0,1.0,5320.0,0.2001142,0.83818597,-0.9629587,0.10585447,265
0.06626566,0.97,26700.0,1.0,5340.0,0.20013292,0.8381808,-1.1652175,0.10585165,266
0.0662543,0.97,26800.0,1.0,5360.0,0.20013185,0.83818436,-0.9538051,0.10585345,267
