test/success_rate,test/mean_Q,epoch,stats_g/std,train/success_rate,stats_o/std,train/episode,stats_g/mean,stats_o/mean,test/episode
1.0,-0.5719755,249,0.08621796,0.9,0.028946321,5000.0,0.8750635,0.26264971,5000.0
1.0,-0.65474254,250,0.086250156,0.85,0.028951854,5020.0,0.87509775,0.2626578,5020.0
1.0,-0.6600456,251,0.08624526,0.65,0.028951636,5040.0,0.87506074,0.26264775,5040.0
1.0,-0.6011373,252,0.08623513,0.8,0.02894716,5060.0,0.87511903,0.2626591,5060.0
1.0,-0.65154827,253,0.08623284,0.5,0.028942913,5080.0,0.875124,0.26265842,5080.0
1.0,-0.65137947,254,0.08624926,0.7,0.028945778,5100.0,0.8750739,0.26264778,5100.0
1.0,-0.6332487,255,0.086273395,0.65,0.028946081,5120.0,0.87500453,0.2626319,5120.0
1.0,-0.55784315,256,0.086235195,0.75,0.028939197,5140.0,0.8750198,0.26263636,5140.0
1.0,-0.61135274,257,0.086206734,0.7,0.028934833,5160.0,0.8750796,0.2626504,5160.0
1.0,-0.62808144,258,0.08623294,0.65,0.028943384,5180.0,0.8751108,0.26265925,5180.0
1.0,-0.5946641,259,0.086223125,0.7,0.02894113,5200.0,0.8750534,0.26264554,5200.0
1.0,-0.5741464,260,0.08619184,0.75,0.028936962,5220.0,0.87509364,0.26265407,5220.0
1.0,-0.5755037,261,0.08618596,0.5,0.028935105,5240.0,0.8750703,0.2626472,5240.0
1.0,-0.6506033,262,0.08619339,0.65,0.028939197,5260.0,0.8751003,0.2626513,5260.0
1.0,-0.61712193,263,0.08618457,0.75,0.028936747,5280.0,0.8750718,0.26263967,5280.0
1.0,-0.6280621,264,0.086176775,0.75,0.028938066,5300.0,0.87505794,0.26263687,5300.0
1.0,-0.6115069,265,0.086164,0.8,0.02893872,5320.0,0.8751294,0.26265717,5320.0
1.0,-0.59352815,266,0.08615472,0.7,0.028935615,5340.0,0.87511307,0.26265055,5340.0
1.0,-0.69369507,267,0.086164534,0.85,0.028935125,5360.0,0.8751009,0.26264432,5360.0
